"Temp","Temp Water","Temp Feels Like","Humidity","Pressure Mm","Pressure Hpa","Precip Mm","Precip Type","Precip Intensity","Wind Speed Ms","Wind Gust Speed Ms","Wind Dir","Condition","Created At"
"-1.60","","-5.20","71","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 00:00"
"-1.60","","-5.00","71","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 00:01"
"-1.60","","-4.70","71","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:02"
"-1.60","","-4.60","71","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:03"
"-1.60","","-4.60","71","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:04"
"-1.60","","-5.00","71","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 00:05"
"-1.60","","-5.20","71","767","1023","","","","1.20","","SSW","Облачно","2025-12-21 00:06"
"-1.60","","-5.20","71","767","1023","","","","1.10","","SSW","Облачно","2025-12-21 00:07"
"-1.60","","-5.20","71","767","1023","","","","1.10","","SSW","Облачно","2025-12-21 00:08"
"-1.70","","-4.90","71","767","1023","","","","0.70","","SSW","Облачно","2025-12-21 00:09"
"-1.70","","-5.60","71","767","1023","","","","1.60","","SSW","Облачно","2025-12-21 00:10"
"-1.70","","-5.60","71","767","1023","","","","1.70","","SSW","Облачно","2025-12-21 00:11"
"-1.70","","-5.60","71","767","1023","","","","1.70","","SSW","Облачно","2025-12-21 00:12"
"-1.70","","-5.60","71","767","1023","","","","0.50","","SSW","Облачно","2025-12-21 00:13"
"-1.70","","-5.60","71","767","1023","","","","0.60","","SSW","Облачно","2025-12-21 00:14"
"-1.70","","-4.90","71","767","1023","","","","0.60","","SSW","Облачно","2025-12-21 00:15"
"-1.70","","-4.90","71","767","1023","","","","1.80","","SSW","Облачно","2025-12-21 00:16"
"-1.80","","-5.80","71","767","1023","","","","1.60","","SSW","Облачно","2025-12-21 00:17"
"-1.80","","-5.00","71","767","1023","","","","0.70","","SSW","Облачно","2025-12-21 00:18"
"-1.80","","-5.80","71","767","1023","","","","1.80","","SSW","Облачно","2025-12-21 00:19"
"-1.80","","-5.80","71","767","1023","","","","1.30","","SSW","Облачно","2025-12-21 00:20"
"-1.80","","-5.50","71","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:21"
"-1.80","","-5.50","71","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:22"
"-1.80","","-4.90","71","766","1022","","","","0.00","","SSW","Облачно","2025-12-21 00:23"
"-1.80","","-4.90","71","766","1022","","","","0.00","","SSW","Облачно","2025-12-21 00:24"
"-1.70","","-5.30","72","766","1022","","","","1.30","","SSW","Облачно","2025-12-21 00:25"
"-1.80","","-4.90","72","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:26"
"-1.80","","-4.80","72","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:27"
"-1.80","","-4.80","71","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:28"
"-1.80","","-5.00","71","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:29"
"-1.80","","-5.00","71","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:30"
"-1.80","","-5.50","71","766","1022","","","","1.00","","SSW","Облачно","2025-12-21 00:31"
"-1.80","","-5.20","71","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 00:32"
"-1.90","","-6.10","71","766","1022","","","","2.10","","SSW","Облачно","2025-12-21 00:33"
"-1.90","","-6.00","71","766","1022","","","","1.90","","SSW","Облачно","2025-12-21 00:34"
"-1.90","","-5.60","71","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 00:35"
"-1.90","","-5.60","71","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 00:36"
"-1.90","","-5.60","71","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 00:37"
"-1.90","","-5.30","71","766","1022","","","","1.30","","SSW","Облачно","2025-12-21 00:38"
"-1.90","","-5.60","71","766","1022","","","","1.00","","SSW","Облачно","2025-12-21 00:39"
"-1.90","","-5.40","71","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 00:40"
"-2.00","","-5.60","71","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 00:41"
"-1.90","","-5.50","71","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 00:42"
"-1.90","","-5.40","71","766","1022","","","","1.50","","SSW","Облачно","2025-12-21 00:43"
"-2.00","","-5.50","71","766","1022","","","","1.00","","SSW","Облачно","2025-12-21 00:44"
"-2.00","","-5.50","71","766","1022","","","","1.00","","SSW","Облачно","2025-12-21 00:45"
"-2.00","","-6.00","71","766","1022","","","","1.80","","SSW","Облачно","2025-12-21 00:46"
"-2.00","","-6.00","71","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:47"
"-2.00","","-6.00","71","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:48"
"-2.00","","-5.00","71","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:49"
"-2.00","","-5.00","72","766","1022","","","","0.00","","SSW","Облачно","2025-12-21 00:50"
"-2.00","","-4.70","72","766","1022","","","","1.00","","SSW","Облачно","2025-12-21 00:51"
"-2.00","","-5.20","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:52"
"-1.90","","-5.10","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:53"
"-1.90","","-5.10","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:54"
"-1.90","","-4.60","72","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:55"
"-2.00","","-5.20","72","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 00:56"
"-2.00","","-5.00","72","766","1022","","","","0.40","","SSW","Облачно","2025-12-21 00:57"
"-2.00","","-5.00","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:58"
"-2.00","","-5.20","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 00:59"
"-2.00","","-5.20","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 01:00"
"-2.00","","-5.60","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:01"
"-2.00","","-5.60","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:02"
"-2.00","","-5.40","72","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 01:03"
"-2.00","","-5.40","72","766","1022","","","","0.50","","SSW","Облачно","2025-12-21 01:04"
"-2.00","","-5.10","72","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 01:05"
"-2.00","","-5.10","72","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 01:06"
"-2.00","","-6.50","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:07"
"-2.00","","-5.60","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 01:08"
"-2.00","","-5.20","72","766","1022","","","","0.70","","SSW","Облачно","2025-12-21 01:09"
"-2.00","","-5.20","72","766","1022","","","","1.50","","SSW","Облачно","2025-12-21 01:10"
"-2.00","","-5.90","72","766","1022","","","","1.60","","SSW","Облачно","2025-12-21 01:11"
"-2.00","","-5.40","72","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 01:12"
"-2.00","","-5.40","72","766","1022","","","","1.70","","SSW","Облачно","2025-12-21 01:13"
"-2.10","","-6.00","72","766","1022","","","","1.70","","SSW","Облачно","2025-12-21 01:14"
"-2.10","","-5.80","72","766","1022","","","","1.10","","SSW","Облачно","2025-12-21 01:15"
"-2.10","","-5.60","72","766","1022","","","","1.10","","SSW","Облачно","2025-12-21 01:16"
"-2.10","","-5.60","72","766","1022","","","","1.10","","SSW","Облачно","2025-12-21 01:17"
"-2.10","","-5.80","72","766","1022","","","","1.30","","SSW","Облачно","2025-12-21 01:18"
"-2.20","","-6.00","72","766","1022","","","","1.50","","SSW","Облачно","2025-12-21 01:19"
"-2.20","","-5.80","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:20"
"-2.20","","-5.00","72","766","1022","","","","0.00","","SSW","Облачно","2025-12-21 01:21"
"-2.20","","-5.00","72","766","1022","","","","0.00","","SSW","Облачно","2025-12-21 01:22"
"-2.10","","-5.60","72","766","1022","","","","2.40","","SSW","Облачно","2025-12-21 01:23"
"-2.10","","-6.50","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:24"
"-2.10","","-5.70","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:25"
"-2.20","","-6.40","72","766","1022","","","","2.10","","SSW","Облачно","2025-12-21 01:26"
"-2.20","","-5.80","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:27"
"-2.20","","-5.90","72","766","1022","","","","1.40","","SSW","Облачно","2025-12-21 01:28"
"-2.20","","-5.90","72","766","1022","","","","0.60","","SSW","Облачно","2025-12-21 01:29"
"-2.20","","-5.90","72","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 01:30"
"-2.20","","-5.90","72","766","1022","","","","0.90","","SSW","Облачно","2025-12-21 01:31"
"-2.20","","-5.80","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:32"
"-2.30","","-5.90","72","766","1022","","","","1.20","","SSW","Облачно","2025-12-21 01:33"
